City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Georgetown,MY,5.4112,100.3354,82.33,82,20,5.01,few clouds
171,Gondanglegi,ID,-7.7479,112.0132,75.51,88,43,9.42,scattered clouds
172,Marang,MY,5.2056,103.2059,76.93,85,96,3.87,overcast clouds
173,Thompson,CA,55.7435,-97.8558,48.36,76,90,4.61,overcast clouds
174,Karasjok,NO,69.4719,25.5112,42.91,92,100,5.32,overcast clouds
175,College,US,64.8569,-147.8028,30.29,93,75,3.44,light snow
176,Iqaluit,CA,63.7506,-68.5145,33.53,80,75,20.0,broken clouds
177,Kloulklubed,PW,7.0419,134.2556,81.1,75,91,15.75,overcast clouds
178,Yellowknife,CA,62.456,-114.3525,47.41,100,90,14.97,overcast clouds
179,Sarakhs,IR,36.5449,61.1577,80.74,29,0,0.0,clear sky
180,Porbandar,IN,21.6422,69.6093,80.13,83,37,10.33,scattered clouds
181,Kisangani,CD,0.5167,25.2,72.63,79,40,1.12,scattered clouds
182,Smithers,CA,54.7804,-127.1743,48.52,93,90,0.0,overcast clouds
183,Flinders,AU,-34.5833,150.8552,54.21,74,100,5.99,overcast clouds
184,San Juan,AR,-31.5375,-68.5364,90.39,10,0,12.64,clear sky
185,Kampli,IN,15.4,76.6167,75.76,83,100,13.04,light rain
186,Ugoofaaru,MV,5.6667,73.0,82.53,78,100,20.47,overcast clouds
187,Awjilah,LY,29.1081,21.2869,77.4,32,0,6.38,clear sky
188,Miraflores,MX,19.2167,-98.8083,68.04,51,73,3.91,broken clouds
189,Severo-Kurilsk,RU,50.6789,156.125,47.43,91,100,6.76,overcast clouds
190,Ahipara,NZ,-35.1667,173.1667,56.34,89,95,7.81,overcast clouds
191,Vardo,NO,70.3705,31.1107,47.46,89,100,8.41,overcast clouds
192,Port Elizabeth,ZA,-33.918,25.5701,64.69,55,0,17.27,clear sky
193,Norman Wells,CA,65.282,-126.8329,32.04,100,90,11.5,light snow
194,Esso,RU,55.9333,158.7,36.84,86,4,2.51,clear sky
195,Kemalpasa,TR,38.4262,27.4173,73.71,39,0,5.97,clear sky
196,Samarai,PG,-10.6167,150.6667,78.24,87,43,13.06,scattered clouds
197,Mar Del Plata,AR,-38.0023,-57.5575,63.0,62,90,7.0,overcast clouds
198,Sept-Iles,CA,50.2001,-66.3821,60.06,90,75,3.0,fog
199,Richards Bay,ZA,-28.783,32.0377,71.74,73,17,14.45,few clouds
200,Carson City,US,39.1638,-119.7674,79.05,30,1,0.0,clear sky
201,Druzhba,UA,52.0428,33.9453,49.46,92,100,15.03,overcast clouds
202,Sao Filipe,CV,14.8961,-24.4956,78.53,75,64,5.1,broken clouds
203,Hualmay,PE,-11.0964,-77.6139,67.93,71,70,11.01,broken clouds
204,Stige,DK,55.4394,10.4094,62.6,72,98,6.67,overcast clouds
205,Gilgit,PK,35.9221,74.3087,77.11,36,0,1.32,clear sky
206,Lanigan,CA,51.8501,-105.0344,68.29,33,93,4.68,overcast clouds
207,Narsaq,GL,60.9167,-46.05,43.02,54,0,8.52,clear sky
208,Grand Gaube,MU,-20.0064,57.6608,72.37,73,9,5.99,light rain
209,Alta Floresta,BR,-9.8756,-56.0861,93.02,40,0,3.44,clear sky
210,Hilo,US,19.7297,-155.09,77.29,84,90,5.75,light rain
211,Itarema,BR,-2.9248,-39.9167,85.42,60,42,21.14,scattered clouds
212,Makakilo City,US,21.3469,-158.0858,73.62,79,1,4.61,clear sky
213,Mahdasht,IR,35.7299,50.8111,84.42,13,0,19.57,clear sky
214,Boyolangu,ID,-8.1181,111.8935,75.16,92,68,5.01,broken clouds
215,Rioja,AR,-29.4111,-66.8507,86.79,17,0,6.78,clear sky
216,Tiksi,RU,71.6872,128.8694,32.77,90,100,20.51,overcast clouds
217,Lorengau,PG,-2.0226,147.2712,81.46,80,25,8.55,scattered clouds
218,Turukhansk,RU,65.8167,87.9833,31.14,82,4,8.3,clear sky
219,Curvelo,BR,-18.7564,-44.4308,94.59,21,15,2.98,few clouds
220,East London,ZA,-33.0153,27.9116,68.94,77,0,3.44,clear sky
221,Isiolo,KE,0.3546,37.5822,71.58,60,100,21.9,overcast clouds
222,Raudeberg,NO,61.9875,5.1352,52.47,75,89,19.84,overcast clouds
223,Kruisfontein,ZA,-34.0033,24.7314,56.66,79,91,6.31,overcast clouds
224,Balikpapan,ID,-1.2675,116.8289,76.75,88,97,5.97,overcast clouds
225,Dingle,PH,10.9995,122.6711,76.05,91,97,4.29,overcast clouds
226,Waipawa,NZ,-41.4122,175.5153,54.23,68,16,14.76,few clouds
227,Kargil,IN,34.5667,76.1,53.06,50,65,4.29,broken clouds
228,Saint Anthony,US,45.0205,-93.218,61.14,56,40,1.99,scattered clouds
229,Ponta Do Sol,PT,32.6667,-17.1,75.83,69,85,1.66,overcast clouds
230,Madras,IN,13.0878,80.2785,82.38,78,40,4.61,moderate rain
231,Rawson,AR,-43.3002,-65.1023,80.17,15,55,24.43,broken clouds
232,Fernley,US,39.608,-119.2518,78.8,18,0,3.0,clear sky
233,Touros,BR,-5.1989,-35.4608,86.9,62,16,18.21,few clouds
