City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Lebu,CL,2021-09-23 01:22:18,-37.6167,-73.65,48.83,82,79,4.52
111,Killybegs,IE,2021-09-23 01:22:19,54.6333,-8.45,55.71,86,100,17.6
112,Villa Literno,IT,2021-09-23 01:22:19,41.0099,14.0805,70.25,56,0,13.0
113,Basco,PH,2021-09-23 01:22:19,20.4487,121.9702,84.72,74,23,14.27
114,Shillong,IN,2021-09-23 01:22:20,25.5689,91.8831,63.63,92,48,1.21
115,Dalvik,IS,2021-09-23 01:22:20,65.9702,-18.5286,35.53,84,60,6.42
116,Thalwil,CH,2021-09-23 01:22:21,47.2918,8.5635,53.56,90,0,4.61
117,Saint-Philippe,RE,2021-09-23 01:22:21,-21.3585,55.7679,67.55,85,71,10.29
118,Kharabali,RU,2021-09-23 01:22:22,47.4196,47.2568,57.6,84,100,12.35
119,New Norfolk,AU,2021-09-23 01:22:22,-42.7826,147.0587,62.1,62,100,5.01
120,Mahon,ES,2021-09-23 01:19:24,39.8885,4.2658,73.96,88,75,12.66
121,Victoria,HK,2021-09-23 01:19:32,22.2855,114.1577,87.96,85,98,15.17
122,Luba,GQ,2021-09-23 01:22:23,3.4568,8.5547,75.09,91,99,5.44
123,Asau,RO,2021-09-23 01:18:33,46.4333,26.4,46.76,94,100,0.67
124,Zhanakorgan,KZ,2021-09-23 01:22:24,43.9098,67.2495,57.06,28,3,8.72
125,Port-Gentil,GA,2021-09-23 01:18:44,-0.7193,8.7815,78.84,84,100,11.23
126,Adrar,MR,2021-09-23 01:22:24,20.5022,-10.0711,88.18,19,69,13.33
127,Tambo Grande,PE,2021-09-23 01:22:25,-4.9269,-80.3447,72.93,61,12,14.63
128,Faya,SA,2021-09-23 01:19:23,18.3851,42.4509,63.12,33,8,1.25
129,Kodiak,US,2021-09-23 01:21:23,57.79,-152.4072,49.51,62,90,19.57
130,Bend,US,2021-09-23 01:17:57,44.0582,-121.3153,67.28,44,1,4.0
131,Kjopsvik,NO,2021-09-23 01:22:26,68.097,16.3742,50.05,82,99,5.84
132,Haines Junction,CA,2021-09-23 01:18:19,60.7522,-137.5108,37.35,60,100,3.44
133,Berlevag,NO,2021-09-23 01:22:27,70.8578,29.0864,45.66,84,100,22.68
134,Baculin,PH,2021-09-23 01:22:27,7.4525,126.5842,85.01,64,68,4.12
135,Nanortalik,GL,2021-09-23 01:22:28,60.1432,-45.2371,43.2,99,100,8.63
136,Luderitz,NA,2021-09-23 01:22:28,-26.6481,15.1594,55.45,90,2,1.57
137,Grand Gaube,MU,2021-09-23 01:22:29,-20.0064,57.6608,70.2,78,3,3.0
138,Ukiah,US,2021-09-23 01:22:29,39.1502,-123.2078,90.45,24,1,9.22
139,Leningradskiy,RU,2021-09-23 01:22:30,69.3833,178.4167,27.21,69,100,3.44
140,Bredasdorp,ZA,2021-09-23 01:22:31,-34.5322,20.0403,56.28,93,0,5.75
141,Camacupa,AO,2021-09-23 01:22:31,-12.0167,17.4833,65.34,25,100,4.83
142,Sept-Iles,CA,2021-09-23 01:19:41,50.2001,-66.3821,63.25,88,75,5.01
143,Hofn,IS,2021-09-23 01:22:32,64.2539,-15.2082,40.68,59,0,11.23
144,Hilo,US,2021-09-23 01:22:32,19.7297,-155.09,86.29,70,1,4.61
145,Aygut,AM,2021-09-23 01:22:33,40.6833,45.1729,54.03,90,100,3.89
146,Sooke,CA,2021-09-23 01:22:33,48.3746,-123.7276,63.01,87,58,26.46
147,Mahajanga,MG,2021-09-23 01:22:34,-15.7167,46.3167,69.82,73,20,5.75
