City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Cookeville,US,71.31,broken clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
323,Lata,PT,69.93,broken clouds,40.1629,-8.3327,Casa Maquia
325,Ayer Tawar,MY,80.55,few clouds,4.2954,100.7548,Ayer Tawar CK Homestay
328,Bang Len,TH,79.99,light rain,14.0219,100.1718,สบายฟ้าอพาร์ทเม้นท์
329,Avera,US,78.71,scattered clouds,33.194,-82.5271,
330,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
331,Banda Aceh,ID,80.46,overcast clouds,5.5577,95.3222,Sulthan Hotel International
333,Prado,BR,75.74,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
335,Excelsior Springs,US,76.57,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
338,Craig,US,69.84,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
343,Faya,SA,73.92,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
348,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
349,Vanimo,PG,77.9,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
353,Pasighat,IN,77.09,clear sky,28.0667,95.3333,Siang Guest House
354,Pacific Grove,US,80.6,scattered clouds,36.6177,-121.9166,Lovers Point Inn
356,Lisieux,FR,69.31,light rain,49.1667,0.1667,La ville au calme
357,Puerto Leguizamo,CO,80.55,overcast clouds,-0.1934,-74.7819,la casona de juancho
363,Veraval,IN,79.84,broken clouds,20.9,70.3667,Lords Inn Somnath
374,Xucheng,CN,75.9,light rain,20.35,110.1288,Haixing Hotel
376,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
378,Pali,IN,83.35,broken clouds,25.7667,73.3333,HOTEL THE AMBA VILAS
383,Mandan,US,73.98,clear sky,46.8267,-100.8896,Twin City Estates
384,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
387,Ninh Binh,VN,74.46,broken clouds,20.2539,105.975,Kinh Do Hotel
389,Loubomo,CG,76.82,overcast clouds,-4.1997,12.6739,La Dolisienne
390,Safford,US,82.06,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
391,Mundo Nuevo,MX,83.14,broken clouds,18.7,-95.5,
393,Sola,VU,78.89,broken clouds,-13.8833,167.55,Leumerus Bungalows
395,Tual,ID,79.99,broken clouds,-5.6667,132.75,Grand Vilia Hotel
396,Santiago,CL,69.28,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
401,Monroe,US,74.91,overcast clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
402,Feicheng,CN,69.21,overcast clouds,35.2606,117.9675,Royal Garden Hotel
403,Canico,PT,75.83,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
406,Elizabeth City,US,78.06,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
409,Mananjary,MG,69.53,light rain,-21.2167,48.3333,Vahiny Lodge
411,Keti Bandar,PK,83.12,few clouds,24.1447,67.4497,Haji laloo memon house
412,Coatepec,MX,74.97,overcast clouds,19.45,-96.9667,Hotel Posada Coatepec
413,Altamont,US,70.77,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
415,Juba,SS,69.21,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
417,Gonbad-E Qabus,IR,83.35,scattered clouds,37.25,55.1672,Samin Building
418,Grafton,US,76.46,clear sky,42.207,-71.6856,The Grafton Inn
420,Piacabucu,BR,78.12,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
425,Cairo,EG,81.72,few clouds,30.0626,31.2497,Grand Hotel
428,Apollonia,GR,71.73,clear sky,36.9716,24.7231,Hotel Anthousa
429,Upington,ZA,82.78,clear sky,-28.4478,21.2561,River Place Manor
430,Port Blair,IN,81.14,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
433,Jabinyanah,TN,84.0,clear sky,35.035,10.9081,maison belmabrouk
436,Biak,ID,74.91,broken clouds,-0.9131,122.8766,Penginapan Kim
438,Inhambane,MZ,73.38,clear sky,-23.865,35.3833,Oceano
439,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
441,Amli,IN,76.75,overcast clouds,20.2833,73.0167,Pluz Resort
445,Along,IN,71.94,scattered clouds,28.1667,94.7667,Hotel West
449,Tezu,IN,76.93,scattered clouds,27.9167,96.1667,Circuit House
456,Sao Jose Da Coroa Grande,BR,79.34,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
458,Mumford,GH,78.24,overcast clouds,5.2618,-0.759,Spanish Villa
459,Axim,GH,77.58,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
460,Puqi,CN,80.53,light rain,29.7167,113.8833,Ramada Plaza Chibi
462,Benguela,AO,72.09,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
465,Peniche,PT,74.68,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
468,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
470,Merauke,ID,76.55,overcast clouds,-8.4667,140.3333,
472,Chenghai,CN,80.51,few clouds,23.4632,116.768,Guangdong Hotel
474,Poum,NC,71.15,overcast clouds,-20.2333,164.0167,Gîte kajeon
477,Solwezi,ZM,70.95,broken clouds,-12.1688,26.3894,Country Lodge Solwezi
479,Mahibadhoo,MV,82.69,broken clouds,3.7833,72.9667,Omadhoo Inn
480,Kuliyapitiya,LK,82.08,broken clouds,7.4688,80.0401,Rest House
481,San Policarpo,PH,78.6,broken clouds,12.1791,125.5072,Manong Aklan Resort
482,Uige,AO,74.3,light rain,-7.6087,15.0613,Hotel Catraio
483,Tura,IN,76.32,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
486,Ranong,TH,77.54,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
489,Wewak,PG,79.92,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
493,Sao Mateus,BR,80.29,broken clouds,-18.7161,-39.8589,Hotel Rio Norte
494,Mashhad,IR,78.94,clear sky,36.297,59.6062,Khanye Sabz Hotel
498,Hobyo,SO,78.26,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
499,Sagana,KE,70.21,overcast clouds,-0.6667,37.2,Nokras Riverine Hotel & Spa
502,Glenwood Springs,US,78.35,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
503,Sibiti,CG,75.07,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
506,Isabela,PH,78.55,overcast clouds,6.7085,121.9711,Isawad Resort
507,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
510,Mayo,US,78.44,clear sky,38.8876,-76.5119,Resorts Resource Group International
511,Saint-Paul,RE,71.71,overcast clouds,-21.0096,55.2707,Boucan Canot
512,Cuorgne,IT,69.08,overcast clouds,45.3895,7.6499,B&B Il Grillo Bianco
513,Harper,LR,78.73,light rain,4.375,-7.7169,Screensaver
514,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
517,Millau,FR,74.39,overcast clouds,44.0833,2.9167,La Villa Des Raspes
521,Meadville,US,69.78,clear sky,41.6414,-80.1515,"Holiday Inn Express Meadville (I-79 Exit 147A), an IHG Hotel"
522,Ubeda,ES,74.44,scattered clouds,38.0133,-3.3705,"Palacio del Deán Ortega, Úbeda"
524,Glendive,US,77.63,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
527,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
528,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
529,Bambanglipuro,ID,77.2,overcast clouds,-7.95,110.2833,Puri Brata
530,Port Moresby,PG,76.42,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
536,Tabuk,PH,73.9,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
539,Belgrade,RS,73.06,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
547,Antalaha,MG,72.68,few clouds,-14.9003,50.2788,Hotel Vitasoa
553,Takoradi,GH,77.77,light rain,4.8845,-1.7554,Raybow International Hotel
555,Honiara,SB,76.86,overcast clouds,-9.4333,159.95,Heritage Park Hotel
556,Dhidhdhoo,MV,82.18,overcast clouds,6.8833,73.1,Dhidhoo beach
558,Wanning,CN,78.67,light rain,18.8003,110.3967,Paradise Hotel
559,Kupang,ID,76.75,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
560,Houma,US,80.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
561,Matay,EG,81.73,clear sky,28.419,30.7792,Nag Aespen
